file,fitness,num_links,num_joins,distance_traveled
elite_13.csv,9.272032182115641,17.0,2,0.9696669026257737
elite_12.csv,9.272032182115641,17.0,2,0.9696669026257737
summary.csv,26.961378328784047,2.875,0,0.0
elite_10.csv,9.272032182115641,17.0,2,0.9696669026257737
elite_11.csv,9.272032182115641,17.0,2,0.9696669026257737
elite_15.csv,9.272032182115641,17.0,2,0.9696669026257737
elite_14.csv,9.272032182115641,17.0,2,0.9696669026257737
elite_8.csv,9.022032182115641,17.0,2,0.9696669026257737
elite_16.csv,9.272032182115641,17.0,2,0.9696669026257737
elite_17.csv,8.299785307629595,17.0,2,1.9439077767139916
elite_9.csv,9.272032182115641,17.0,2,0.9696669026257737
elite_4.csv,8.321967853405958,17.0,3,1.9136746793397652
elite_5.csv,9.022032182115641,17.0,2,0.9696669026257737
elite_7.csv,9.022032182115641,17.0,2,0.9696669026257737
elite_19.csv,8.299785307629595,17.0,2,1.9439077767139916
elite_18.csv,8.299785307629595,17.0,2,1.9439077767139916
elite_6.csv,9.022032182115641,17.0,2,0.9696669026257737
elite_2.csv,8.321967853405958,17.0,3,1.9136746793397652
elite_20.csv,8.299785307629595,17.0,2,1.9439077767139916
elite_21.csv,8.299785307629595,17.0,2,1.9439077767139916
elite_3.csv,8.321967853405958,17.0,3,1.9136746793397652
elite_1.csv,8.753742639200576,17.0,3,1.6294803119150267
elite_0.csv,8.753742639200576,17.0,3,1.6294803119150267
